date, pm25, pm10, o3, no2, so2, co
2021/4/2, 19, 5, 9, 1, , 4
2021/4/3, 19, 7, 7, 2, , 5
2021/4/4, 31, 11, 8, 2, , 5
2021/4/5, 32, 7, 8, 2, , 5
2021/4/6, 22, 6, 6, 1, , 6
2021/4/7, 27, 8, 7, 2, , 6
2021/4/8, 23, 14, 4, 3, , 8
2021/4/9, 43, 5, 7, 3, , 7
2021/4/10, 18, 11, 7, 1, , 7
2021/4/11, 30, , , , , 
2021/3/2, 59, 19, 13, 3, , 8
2021/3/3, 57, 34, 9, 4, , 9
2021/3/4, 79, 36, 5, 2, , 12
2021/3/5, 87, 37, 9, 2, , 9
2021/3/6, 86, 36, 12, 3, , 8
2021/3/7, 89, 9, 7, 1, , 5
2021/3/8, 22, 6, 12, 1, , 4
2021/3/9, 20, 24, 16, 3, , 9
2021/3/10, 59, 18, 11, 3, , 7
2021/3/11, 49, 22, 5, 3, , 10
2021/3/12, 58, 23, 5, 2, , 9
2021/3/13, 67, 23, 10, 2, , 8
2021/3/14, 66, 23, 10, 2, , 6
2021/3/15, 57, 21, 7, 2, , 9
2021/3/16, 63, 15, 9, 4, , 8
2021/3/17, 48, 29, 7, 2, , 11
2021/3/18, 73, 18, 3, 3, , 9
2021/3/19, 47, 23, 10, 3, , 9
2021/3/20, 60, 33, 11, 2, , 8
2021/3/21, 69, 18, 12, 1, , 6
2021/3/22, 51, 22, 13, 1, , 6
2021/3/23, 64, 31, 5, 4, , 8
2021/3/24, 76, 31, 5, 2, , 10
2021/3/25, 76, 22, 10, 2, , 9
2021/3/26, 50, 17, 10, 2, , 7
2021/3/27, 36, 12, 9, 2, , 7
2021/3/28, 34, 7, 11, 1, , 4
2021/3/29, 21, 7, 5, 2, , 5
2021/3/30, 23, 4, 2, 2, , 5
2021/3/31, 19, 5, 7, 2, , 7
2021/4/1, 22, 8, 8, 1, , 4
2021/2/2, 29, 10, 6, 4, , 5
2021/2/3, 34, 10, 8, 2, , 2
2021/2/4, 34, 17, 6, 2, , 5
2021/2/5, 39, 13, 5, 2, , 3
2021/2/6, 40, 15, 8, 2, , 5
2021/2/7, 44, 14, 6, 2, , 4
2021/2/8, 43, 21, 5, 3, , 6
2021/2/9, 53, 26, 7, 3, , 9
2021/2/10, 68, 23, 10, 2, , 7
2021/2/11, 63, 23, 16, 2, , 7
2021/2/12, 67, 35, 8, 3, , 9
2021/2/13, 83, 16, 9, 2, , 6
2021/2/14, 50, 22, 12, 2, , 7
2021/2/15, 63, 16, 4, 3, , 8
2021/2/16, 56, 29, 13, 3, , 9
2021/2/17, 71, 30, 16, 3, , 8
2021/2/18, 73, 26, 15, 3, , 7
2021/2/19, 66, 25, 9, 3, , 8
2021/2/20, 71, 28, 9, 3, , 8
2021/2/21, 70, 21, 10, 2, , 7
2021/2/22, 67, 14, 11, 1, , 5
2021/2/23, 44, 14, 11, 2, , 6
2021/2/24, 51, 19, 7, 2, , 7
2021/2/25, 53, 8, 7, 1, , 5
2021/2/26, 36, 18, 7, 2, , 8
2021/2/27, 54, 21, 7, 3, , 8
2021/2/28, 62, 14, 15, 2, , 6
2021/3/1, 46, 21, 12, 3, , 6
2021/1/5, 39, 19, 24, 2, , 4
2021/1/6, 51, 15, 13, 2, , 4
2021/1/7, 45, 12, 15, 1, , 2
2021/1/8, 37, 16, 12, 1, , 3
2021/1/9, 45, 4, 10, 1, , 2
2021/1/10, 17, 4, 10, , , 2
2021/1/11, 18, 3, 10, , , 3
2021/1/12, 19, 5, 13, 1, , 2
2021/1/13, 22, 15, 10, 2, , 5
2021/1/14, 38, 29, 16, 3, , 6
2021/1/15, 68, 35, 23, 4, , 7
2021/1/16, 82, 26, 18, 2, , 5
2021/1/17, 68, 13, 14, 1, , 2
2021/1/18, 47, 19, 13, 2, , 4
2021/1/19, 52, 23, 13, 3, , 4
2021/1/20, 52, 18, 11, 2, , 4
2021/1/21, 44, 25, 13, 2, , 5
2021/1/22, 61, 18, 9, 2, , 4
2021/1/23, 47, 3, 8, 1, , 3
2021/1/24, 31, 3, 9, 1, , 2
2021/1/25, 28, 5, 7, 1, , 5
2021/1/26, 33, 10, 9, 2, , 5
2021/1/27, 44, 7, 11, 1, , 4
2021/1/28, 36, 28, 17, 2, , 7
2021/1/29, 76, 35, 22, 2, , 4
2021/1/30, 81, 18, 13, , , 3
